spelling,pronunciation,freq,syllables
hitched,h1Ct,108,1
hitchhike,h1Ch5k,48,2
hitchhiker,h1Ch5k3r,50,3
hitchhiking,h1Ch5k1N,69,3
hither,h1D3r,51,2
hitler,h1tl3r,628,2
hits,h1ts,1020,1
hitter,h1t3r,79,2
hitting,h1t1N,1200,2
hive,h5v,50,1
hives,h5vz,64,1
hm,hm,802,1
ho,ho,2141,1
hoagie,hogi,44,2
hoarse,hcrs,25,1
hoax,hoks,123,1
hob,hab,3,1
hobbies,habiz,105,2
hobbit,hab1t,73,2
hobby,habi,354,2
hobo,hobo,91,2
hoc,hak,13,1
hock,hak,110,1
hockey,haki,588,2
hodge,haG,113,1
hoe,ho,47,1
hog,hag,261,1
hogan,hogen,91,2
hogg,hag,79,1
hogging,hag1N,51,2
hogs,hagz,101,1
hoi,h2,86,1
hoist,h2st,105,1
hold,hold,22273,1
holden,holden,173,2
holder,hold3r,82,2
holders,hold3rz,44,2
holding,hold1N,3530,2
holdings,hold1Nz,78,2
holds,holdz,728,1
holdup,hold^p,132,2
hole,hol,2969,1
holed,hold,98,1
holes,holz,779,1
holiday,hal1d8,1086,3
holiday,haled8,1086,3
holidays,haled8z,466,3
holiness,holines,159,3
holland,halend,341,2
holler,hal3r,301,2
hollering,hal3r1N,89,3
hollow,halo,621,2
holly,hali,548,2
hollywood,haliwUd,1427,3
holmes,holmz,1295,1
holocaust,halekast,100,3
holographic,halogr@f1k,53,4
holster,holst3r,111,2
holt,holt,272,1
holy,holi,3475,2
homage,am1G,67,2
homage,ham1G,67,2
home,hom,39491,1
homeboy,homb2,124,2
homecoming,homk^m1N,285,3
homeland,homl@nd,244,2
homeless,homles,543,2
homely,homli,47,2
homemade,homm8d,146,2
homeowner,homon3r,60,3
homer,hom3r,340,2
homeroom,homrum,59,2
homes,homz,722,1
homesick,homs1k,123,2
homestead,homstEd,59,2
hometown,homtOn,199,2
homeward,homw3rd,39,2
homework,homw3rk,1027,2
homey,homi,171,2
homicidal,hames5del,103,4
homicide,hames5d,782,3
homicides,hames5dz,61,3
homie,homi,93,2
homies,homiz,60,2
homing,hom1N,71,2
homo,homo,189,2
homogeneity,hameGenieti,5,6
homosexual,homosEkSjuel,241,5
homosexuality,homosEkSu@leti,49,7
homosexuals,homosEkSuelz,80,5
hon,h^n,837,1
honcho,hanCo,47,2
honda,hande,54,2
honduras,handUres,43,3
hone,hon,37,1
honest,anest,3689,2
honestly,anestli,1390,3
honesty,anesti,368,3
honey,h^ni,15325,2
honeybee,h^nibi,10,3
honeycomb,h^nikom,20,3
honeydew,h^nidu,14,3
honeymoon,h^nimun,826,3
honeys,h^niz,51,2
hong,hcN,924,1
honk,hcNk,122,1
honking,haNk1N,155,2
honking,hcNk1N,155,2
honks,haNks,88,1
honks,hcNks,88,1
honky,haNki,82,2
honky,hcNki,82,2
honolulu,hanelulu,132,4
honor,an3r,4912,2
honorable,an3rebel,369,4
honorary,an3rEri,77,4
honored,an3rd,554,2
honoring,an3r1N,78,3
honors,an3rz,211,2
honour,an3r,1213,2
honourable,an3rebel,124,4
honoured,an3rd,156,2
honours,an3rz,69,2
hoo,hu,203,1
hooch,huC,53,1
hood,hUd,785,1
hoodlum,hUdlem,66,2
hoodlums,hudlemz,63,2
hoods,hUdz,78,1
hooey,hui,43,2
hoof,hUf,88,1
hook,hUk,1938,1
hookah,huke,2,2
hooked,hUkt,669,1
hooker,hUk3r,598,2
hookers,hUk3rz,199,2
hooking,hUk1N,129,2
hooks,hUks,212,1
hookup,hUk^p,40,2
hooky,hUki,43,2
hooligans,hul1genz,52,3
hoop,hup,137,1
hooper,hup3r,154,2
hoops,hups,141,1
hooray,hUr8,293,2
hoot,hut,133,1
hooters,hut3rz,118,2
hoover,huv3r,162,2
hooves,hUvz,66,1
hop,hap,977,1
hope,hop,16352,1
hoped,hopt,830,1
hopeful,hopfel,152,2
hopefully,hopfeli,597,3
hopeless,hoples,456,2
hopelessly,hoplesli,78,3
hopes,hops,770,1
hoping,hop1N,2544,2
hopped,hapt,86,1
hopper,hap3r,459,2
hopping,hap1N,121,2
hops,haps,46,1
hopscotch,hapskaC,15,2
horace,hcr1s,344,2
horace,hcres,344,2
horde,hcrd,58,1
hordes,hcrdz,41,1
horizon,h3r5zen,228,3
horizons,h3r5zenz,58,3
horizontal,hcrezantel,77,4
hormonal,hcrmonel,43,3
hormone,hcrmon,69,2
hormones,hcrmonz,188,2
horn,hcrn,1075,1
hornet,hcrn1t,68,2
horns,hcrnz,316,1
horny,hcrni,428,2
horoscope,hcreskop,60,3
horrendous,hcrEndes,52,3
horrendous,herEndes,52,3
horrible,hcrebel,2164,3
horribly,hcrebli,125,3
horrid,hcr1d,125,2
horrific,hcr1f1k,70,3
horrified,hcref5d,72,3
horrify,hcref5,7,3
horrifying,hcref51N,80,4
horror,hcr3r,468,2
horrors,hcr3rz,99,2
hors,cr,116,1
horse,hcrs,4737,1
horseback,hcrsb@k,95,2
horseman,hcrsmen,61,2
horsemen,hcrsmen,53,2
horseplay,hcrspl8,19,2
horsepower,hcrspO3r,62,3
horses,hcrs1z,2087,2
horses,hcrsez,2087,2
horseshit,hcrsS1t,116,2
horseshoe,hcrsSu,52,2
horsey,hcrsi,42,2
hos,hoz,74,1
hose,hoz,411,1
hoses,hozez,55,2
hospitable,hasp1tebel,42,4
hospital,hasp1tel,6334,3
hospitality,haspet@leti,231,5
hospitalize,hasp1tel5z,2,4
hospitalized,hasp1tel5zd,71,4
hospitals,hasp1telz,315,3
hoss,has,107,1
host,host,766,1
hostage,hast1G,743,2
hostages,hast1Gez,494,3
hostess,hostes,189,2
hostile,hast5l,456,2
hostile,hastel,456,2
hostiles,hast5lz,70,2
hostility,hast1leti,139,4
hosting,host1N,107,2
hosts,hosts,96,1
hot,hat,9682,1
hotcake,hatk8k,2,2
hotdog,hatdcg,20,2
hotel,hotEl,5264,2
hotels,hotElz,257,2
hotline,hatl5n,79,2
hots,hats,74,1
hotshot,hatSat,179,2
hotter,hat3r,238,2
hottest,hatest,315,2
hottie,hati,120,2
hound,hOnd,257,1
hounding,hOnd1N,43,2
hounds,hOndz,96,1
hour,O3r,8277,2
hour,Or,8277,1
hourglass,O3rgl@s,49,3
hourglass,Orgl@s,49,2
hours,O3rz,10959,2
hours,Orz,10959,1
house,hOs,26214,1
house,hOz,26214,1
housed,hOzd,42,1
household,hOshold,354,2
housekeeper,hOskip3r,298,3
housekeeping,hOskip1N,153,3
houses,hOs1z,975,2
houses,hOsez,975,2
housewife,hOsw5f,180,2
housewives,hOsw5vz,113,2
housework,hOsw3rk,64,2
housing,hOz1N,207,2
houston,hjusten,536,2
hover,h^v3r,59,2
hovering,h^v3r1N,103,3
hovering,h^vr1N,103,2
how,hO,155867,1
howdy,hOdi,664,2
howe,hO,41,1
however,hOEv3r,2299,3
howl,hOl,105,1
howling,hOl1N,183,2
howls,hOlz,64,1
hub,h^b,156,1
hubba,h^be,64,2
hubble,h^bel,64,2
hubby,h^bi,51,2
huck,h^k,18,1
huckleberry,h^kelbEri,44,4
hud,h^d,74,1
huddle,h^del,111,2
hudson,h^dsen,481,2
hue,hju,71,1
huff,h^f,67,1
hug,h^g,986,1
huge,hjuG,2467,1
huggable,h^gebel,6,3
hugged,h^gd,87,1
hugging,h^g1N,146,2
hugh,hju,316,1
hugo,hjugo,291,2
hugo,jugo,291,2
hugs,h^gz,89,1
huh,h^,22350,1
hula,hule,100,2
hulk,h^lk,208,1
hull,h^l,215,1
hum,h^m,246,1
human,hjumen,6363,2
human,jumen,6363,2
humane,hjum8n,93,2
humanitarian,hjum@netErien,95,6
humanity,hjum@n1ti,495,4
humanity,jum@n1ti,495,4
humanly,hjumenli,60,3
humanoid,hjumen2d,42,3
humans,hjumenz,831,2
humans,jumenz,831,2
humble,h^mbel,500,2
humbled,h^mbeld,46,2
humbly,h^mbli,95,2
humbug,h^mb^g,49,2
humid,hjum1d,45,2
humidity,hjum1deti,68,4
humiliate,hjum1li8t,213,4
humiliated,hjum1li8t1d,339,5
humiliating,hjum1li8t1N,300,5
humiliation,hjum1li8Sen,238,5
humility,hjum1leti,122,4
hummed,h^md,9,1
hummel,h^mel,43,2
hummer,h^m3r,70,2
humming,h^m1N,251,2
hummingbird,h^m1Nb3rd,31,3
humor,hjumer,849,2
humorous,hjum3res,75,3
humour,hjum3r,269,2
hump,h^mp,225,1
humph,h^mf,19,1
humping,h^mp1N,103,2
hums,h^mz,112,1
hun,h^n,81,1
hunch,h^nC,383,1
hunchback,h^nCb@k,50,2
hunches,h^nCez,48,2
hundred,h^ndred,4015,2
hundreds,h^nd3rdz,1108,2
hundreds,h^ndredz,1108,2
hung,h^N,1436,1
hungarian,h1NgErien,137,4
hungary,h^Ng3ri,53,3
hunger,h^Ng3r,300,2
hungry,h^Ngri,3931,2
hunk,h^Nk,263,1
hunky,h^Nki,42,2
huns,h^nz,78,1
hunt,h^nt,1319,1
hunted,h^nt1d,198,2
hunted,h^nted,198,2
hunter,h^nt3r,936,2
hunters,h^nt3rz,247,2
hunting,h^nt1N,1081,2
hunts,h^nts,60,1
hurdle,h3rdel,37,2
hurl,h3rl,69,1
hurley,h3rli,215,2
hurrah,hera,120,2
hurrah,herc,120,2
hurrah,hUr8,120,2
hurrah,hUra,120,2
hurray,h3r8,86,2
hurray,her8,86,2
hurricane,h3r1k8n,447,3
hurricanes,h3r1k8nz,51,3
hurried,h3rid,62,2
hurry,h3ri,8856,2
hurrying,h3ri1N,77,3
hurt,h3rt,12564,1
hurtful,h3rtfel,58,2
hurting,h3rt1N,974,2
hurts,h3rts,1907,1
husband,h^zbend,9935,2
husbands,h^zbendz,396,2
hush,h^S,388,1
hushed,h^St,25,1
husky,h^ski,81,2
hussy,h^si,63,2
hustle,h^sel,402,2
hustler,h^sl3r,151,2
hustling,h^sl1N,86,2
hut,h^t,674,1
hutch,h^C,184,1
huts,h^ts,56,1
huzzah,h^za,42,2
hyacinth,h5es1nT,21,3
hybrid,h5br1d,104,2
hybrid,h5bred,104,2
hybrids,h5br1dz,50,2
hyde,h5d,289,1
hydrangea,h5dr8nGe,8,3
hydrant,h5drent,52,2
hydraulic,h5drcl1k,58,3
hydrogen,h5dreGen,136,3
hyena,h5ine,72,3
hyenas,h5inez,43,3
hygiene,h5Gin,108,2
hymn,h1m,83,1
hymns,h1mz,48,1
hype,h5p,83,1
hyper,h5p3r,45,2
hyperventilating,h5p3rvEntel8t1N,40,6
hypnosis,h1pnos1s,101,3
hypnotic,h1pnat1k,67,3
hypnotist,h1pnet1st,41,3
hypnotized,h1pnet5zd,61,3
hypocrisy,h1pakresi,84,4
hypocrite,h1pekr1t,166,3
hypocrites,h1pekr1ts,57,3
hypocritical,h1pekr1t1kel,64,5
hypotenuse,h5patenus,10,4
hypothesis,h5paTes1s,44,4
hypothetical,h5peTEt1kel,125,5
hypothetically,h5peTEt1keli,108,6
hysteria,h1stErie,116,4
hysterical,h1stEr1kel,362,4
hysterically,h1stEr1keli,51,5
i,5,2038529,1
ice,5s,4057,1
iceberg,5sb3rg,92,2
icebox,5sbaks,124,2
icecream,5skrim,6,2
iced,5st,218,1
iceland,5slend,45,2
iceman,5sm@n,69,2
icicle,5s1kel,15,3
icing,5s1N,71,2
icky,1ki,61,2
icon,5kan,88,2
icy,5si,135,2
id,1d,169,1
idea,5die,18311,3
ideal,5dil,374,2
idealistic,5diel1st1k,41,5
ideals,5dilz,126,2
ideas,5diez,1987,3
identical,5dEnt1kel,282,4
identification,5dEntefek8Sen,409,6
identified,5dEntef5d,524,4
identify,5dEntef5,825,4
identifying,5dEntef51N,96,5
identities,5dEntetiz,89,4
identity,5dEnteti,662,4
idiosyncrasy,1dios1Nkresi,10,6
idiot,1diet,3377,3
idiotic,1diat1k,198,4
idiots,1diets,607,3
idle,5del,141,2
idol,5del,141,2
if,1f,180610,1
iffy,1fi,26,2
igloo,1glu,15,2
ignite,1gn5t,51,2
ignition,1gn1Sen,212,3
ignorance,1gn3rens,184,3
ignorant,1gn3rent,319,3
ignore,1gncr,951,2
ignored,1gncrd,301,2
ignores,1gncrz,45,2
ignoring,1gncr1N,208,3
iguana,1gwane,40,3
ike,5k,95,1
ill,1l,1085,1
illegal,1ligel,1199,3
illegally,1ligeli,113,4
illegitimate,1leG1temet,68,5
illinois,1l1n2,90,3
illiterate,1l1t3ret,50,4
illness,1lnes,371,2
illuminate,1lumen8t,42,4
illusion,1luZen,421,3
illusions,1luZenz,125,3
illustrate,1lestr8t,40,3
illustration,1lestr8Sen,24,4
illustrious,1l^stries,72,4
image,1m1G,1154,2
imagery,1m1Gri,74,3
images,1m1Gez,401,3
imaginable,1m@Genebel,48,5
imaginary,1m@GenEri,222,5
imagination,1m@Gen8Sen,885,5
imaginations,1m@Gen8Senz,44,5
imaginative,1m@Genetev,70,5
imagine,1m@Gen,4133,3
imagined,1m@Gend,505,3
imaging,1meG1N,64,3
imagining,1m@Gen1N,247,4
imbalance,1mb@lens,54,3
imbecile,1mbes1l,147,3
imitate,1met8t,92,3
imitates,1met8ts,48,3
imitating,1met8t1N,92,4
imitation,1met8Sen,139,4
immaculate,1m@kjulet,40,4
immaterial,1met1riel,45,5
immature,1meC3r,167,3
immature,1metjUr,167,3
immediate,1midiet,571,4
immediately,1midietli,2446,5
immense,1mEns,82,2
immensely,1mEnsli,62,3
immigrant,1megrent,79,3
immigrants,1megrents,77,3
immigration,1megr8Sen,128,4
imminent,1menent,123,3
immoral,1mcrel,133,3
immortal,1mcrtel,260,3
immortality,1mcrt@leti,102,5
immune,1mjun,221,2
immunity,1mjun1ti,216,4
impact,1mp@kt,480,2
impaired,1mpErd,43,2
impartial,1mparSel,51,3
impatience,1mp8Sens,35,3
impatient,1mp8Sent,206,3
impeccable,1mpEkebel,81,4
impending,1mpEnd1N,55,3
impenetrable,1mpEnetrebel,52,5
imperative,1mpEretev,127,4
imperfect,1mp3rfekt,49,3
imperial,1mp1riel,126,4
impersonal,1mp3rsenel,44,4
impersonating,1mp3rsen8t1N,74,5
impertinent,1mp3rtenent,55,4
impetuous,1mpECues,58,4
implant,1mpl@nt,109,2
implanted,1mpl@nted,62,3
implants,1mpl@nts,141,2
implement,1mplement,63,3
implicate,1mplek8t,56,3
implicated,1mplek8ted,65,4
implication,1mplek8Sen,48,4
implications,1mplek8Senz,79,4
implied,1mpl5d,109,2
implies,1mpl5z,80,2
implore,1mplcr,53,2
imply,1mpl5,137,2
implying,1mpl51N,147,3
impolite,1mpel5t,66,3
import,1mpcrt,111,2
importance,1mpcrtens,390,3
important,1mpcrtent,10587,3
importantly,1mpcrtentli,278,4
imported,1mpcrted,151,3
impose,1mpoz,145,2
imposed,1mpozd,66,2
imposing,1mpoz1N,52,3
impossible,1mpasebel,3015,4
impostor,1mpcst3r,101,3
impotent,1mpetent,106,3
impound,1mpOnd,85,2
impounded,1mpOnded,52,3
impoverish,1mpavr1S,1,3
impractical,1mpr@kt1kel,45,4
impress,1mprEs,520,2
impressed,1mprEst,972,2
impression,1mprESen,946,3
impressionable,1mprESenebel,43,5
impressions,1mprESenz,159,3
impressive,1mprEs1v,865,3
imprint,1mpr1nt,64,2
imprisoned,1mpr1zend,105,3
imprisonment,1mpr1zenment,93,4
impromptu,1mpramptu,43,3
improper,1mprap3r,57,3
improve,1mpruv,413,2
improved,1mpruvd,230,2
improvement,1mpruvment,198,3
improvements,1mpruvments,58,3
improving,1mpruv1N,119,3
improvise,1mprev5z,127,3
impulse,1mp^ls,269,2
impulses,1mp^lsez,109,3
impulsive,1mp^ls1v,137,3
impunity,1mpjun1ti,18,4
impure,1mpjUr,41,2
in,1n,498444,1
inability,1neb1leti,81,5
inaction,1n@kSen,7,3
inactive,1n@kt1v,34,3
inadequate,1n@dekwet,95,4
inadvertently,1nedv3rtentli,54,5
inappropriate,1nepropriet,338,5
inbound,1nbOnd,62,2
inc,1Nk,172,1
incapable,1nk8pebel,173,4
incapacitated,1nkep@set8ted,48,6
incarcerated,1nkars3r8ted,51,5
incarceration,1nkars3r8Sen,40,5
incense,1nsEns,92,2
incentive,1nsEnt1v,100,3
incest,1nsEst,44,2
inch,1nC,631,1
inches,1nC1z,660,2
inches,1nCez,660,2
inchworm,1nCw3rm,12,2
incident,1nsedent,883,3
incidentally,1ns1dEnteli,193,5
incidents,1ns1dents,135,3
incision,1ns1Zen,121,3
inclination,1nklen8Sen,42,4
inclined,1nkl5nd,169,2
include,1nklud,568,2
included,1nklud1d,382,3
included,1nkluded,382,3
includes,1nkludz,269,2
including,1nklud1N,1405,3
income,1nk^m,378,2
incoming,1nk^m1N,315,3
incomparable,1nkamp3rebel,48,5
incompetence,1nkampetens,76,4
incompetent,1nkampetent,194,4
incomplete,1nkemplit,109,3
incomprehensible,1NkamprehEnsebel,42,6
inconceivable,1nkensivebel,46,5
inconclusive,1nkenklusev,42,4
inconsiderate,1nkens1d3ret,73,5
inconsistent,1nkens1stent,55,4
inconvenience,1nkenvinjens,226,4
inconvenient,1nkenvinjent,83,4
incorporated,1nkcrp3r8ted,75,5
incorrect,1nkerEkt,113,3
increase,1nkris,436,2
increased,1nkrist,208,2
increases,1nkrisez,99,3
increasing,1nkris1N,162,3
increasingly,1nkris1Nli,91,4
incredible,1nkrEdebel,1928,4
incredibly,1nkrEdebli,668,4
incriminating,1nkr1men8t1N,63,5
incubator,1Nkjeb8t3r,51,4
incurable,1nkjUrebel,52,4
indebted,1ndEted,59,3
indecent,1ndisent,91,3
indeed,1ndid,2065,2
indefinitely,1ndEfenetli,119,5
independence,1nd1pEndens,204,4
independent,1nd1pEndent,477,4
independently,1ndepEndentli,48,5
indestructible,1ndestr^ktebel,74,5
index,1ndEks,106,2
india,1ndie,72,3
indian,1ndien,175,3
indiana,1ndi@ne,99,4
indians,1ndienz,146,3
indicate,1ndek8t,425,3
indicated,1ndek8t1d,203,4
indicated,1ndek8ted,203,4
indicates,1nd1k8ts,277,3
indicating,1ndek8t1N,95,4
indication,1ndek8Sen,181,4
indications,1ndek8Senz,57,4
indicator,1ndek8t3r,44,4
indict,1nd5t,45,2
indicted,1nd5ted,96,3
indictment,1nd5tment,126,3
indifference,1nd1f3rens,55,4
indifferent,1nd1f3rent,58,4
indifferent,1nd1frent,58,3
indigenous,1nd1Genes,57,4
indigestion,1nd1GEsCen,95,4
indiscretion,1ndeskrESen,53,4
indisposed,1nd1spozd,56,3
indistinct,1nd1st1Nkt,252,3
individual,1ndev1Guel,596,5
individuality,1ndev1Gu@leti,43,7
individually,1ndev1Gueli,65,6
individuals,1ndev1Guelz,224,5
indoor,1ndcr,68,2
indoors,1ndcrz,126,2
induce,1ndus,82,2
induced,1ndust,63,2
induct,1nd^kt,3,2
indulge,1nd^lG,147,2
indulgence,1nd^lGens,49,3
industrial,1ndestriel,233,4
industries,1ndestriz,45,3
industry,1ndestri,596,3
indy,1ndi,100,2
inept,1nEpt,43,2
inevitable,1nEvetebel,288,5
inevitably,1nEvetebli,65,5
inexcusable,1n1kskjuzebel,43,5
inexperienced,1nEksp1rienst,58,5
infamous,1nfemes,114,3
infant,1nfent,215,2
infantry,1nfentri,144,3
infants,1nfents,63,2
infatuation,1nf@Cu8Sen,43,5
infect,1nfEkt,62,2
infected,1nfEkt1d,422,3
infection,1nfEkSen,446,3
infections,1nfEkSenz,47,3
infectious,1nfEkSes,65,3
inferior,1nf1ri3r,156,4
inferiority,1nfericreti,40,6
infernal,1nf3rnel,60,3
inferno,1nf3rno,47,3
infest,1nfEst,14,2
infested,1nfEsted,48,3
infidel,1nfedEl,55,3
infidelity,1nfedEleti,67,5
infiltrate,1nfeltr8t,85,3
infiltrated,1nfeltr8ted,63,4
infiltration,1nfeltr8Sen,40,4
infinite,1nfenet,178,3
infinitely,1nfenetli,48,4
infinity,1nf1neti,86,4
infirmary,1nf3rm3ri,150,4
inflation,1nfl8Sen,53,3
inflict,1nfl1kt,69,2
inflicted,1nfl1kted,73,3
influence,1nfluens,754,3
influenced,1nfluenst,107,3
influences,1nfluensez,61,4
influential,1nfluEnSel,81,4
info,1nfo,189,2
inform,1nfcrm,644,2
informal,1nfcrmel,86,3
informant,1nfcrment,213,3
informants,1nfcrments,58,3
information,1nfcrm8Sen,4557,4
informed,1nfcrmd,633,2
informer,1nfcrm3r,63,3
informing,1nfcrm1N,57,3
informs,1nfcrmz,43,2
infrared,1nfrerEd,155,3
infrastructure,1nfrestr^kC3r,60,4
infuser,1nfjuz3r,56,3
ingenious,1nGinjes,108,3
ingenuity,1nGenueti,47,5
ingredient,1ngridient,133,4
ingredients,1ngridients,109,4
inhabitants,1nh@b1tents,64,4
inhabited,1nh@b1ted,57,4
inhale,1nh8l,120,2
inhaler,1nh8l3r,60,3
inherit,1nhEr1t,181,3
inheritance,1nhEr1tens,162,4
inherited,1nhEret1d,215,4
inhibitions,1n1b1Senz,44,4
inhibitions,1nh1b1Senz,44,4
inhibitor,1nh1bet3r,67,4
inhuman,1nhjumen,91,3
initial,1n1Sel,325,3
initially,1n1Seli,105,4
initials,1n1Selz,235,3
initiate,1n1Si8t,170,4
initiated,1n1Si8ted,108,5
initiating,1n1Si8t1N,52,5
initiation,1n1Si8Sen,68,5
initiative,1n1Set1v,140,4
inject,1nGEkt,123,2
injected,1nGEkted,118,3
injecting,1nGEkt1N,53,3
injection,1nGEkSen,211,3
injections,1nGEkSenz,66,3
injunction,1nG^NkSen,66,3
injure,1nG3r,51,2
injured,1nG3rd,534,2
injuries,1nG3riz,378,3
injury,1nG3ri,520,3
injustice,1nG^stes,163,3
ink,1Nk,382,1
inland,1nl@nd,69,2
inland,1nlend,69,2
inmate,1nm8t,137,2
inmates,1nm8ts,197,2
inn,1n,428,1
inner,1n3r,507,2
inning,1n1N,128,2
innings,1n1Nz,49,2
innit,1n1t,49,2
innocence,1nesens,336,3
innocent,1nesent,2780,3
innocents,1nesents,73,3
innovative,1nev8t1v,52,4
innuendo,1njuEndo,46,4
input,1npUt,152,2
inquest,1nkwEst,41,2
inquire,1nkw5r,86,2
inquiries,1nkw3riz,77,3
inquiring,1nkw5r1N,49,3
inquiry,1nkw5ri,178,3
inquiry,1nkweri,178,3
inquisitive,1nkw1zet1v,51,4
insane,1ns8n,1973,2
insanely,1ns8nli,67,3
insanity,1ns@n1ti,391,4
insanity,1ns@neti,391,4
insatiable,1ns8Sebel,50,4
inscription,1nskr1pSen,87,3
insect,1nsEkt,161,2
insects,1nsEkts,158,2
insecure,1nsekj3r,207,3
insecurity,1nsekjUreti,55,5
insensitive,1nsEns1t1v,191,4
insensitive,1nsEnset1v,191,4
inseparable,1nsEp3rebel,51,5
insert,1ns3rt,141,2
inserted,1ns3rted,59,3
inside,1ns5d,10775,2
insides,1ns5dz,135,2
insidious,1ns1dies,45,4
insight,1ns5t,143,2
insightful,1ns5tfel,50,3
insights,1ns5ts,52,2
insignia,1ns1gnie,41,4
insignificant,1ns1gn1fekent,134,5
insinuate,1ns1nju8t,33,4
insinuating,1ns1nju8t1N,49,5
insist,1ns1st,910,2
insisted,1ns1st1d,417,3
insisted,1ns1sted,417,3
insistent,1ns1stent,43,3
insisting,1ns1st1N,83,3
insists,1ns1sts,185,2
insolence,1nselens,45,3
insolent,1nselent,61,3
insomnia,1nsamnie,88,4
inspect,1nspEkt,130,2
inspection,1nspEkSen,300,3
inspector,1nspEkt3r,1124,3
inspectors,1nspEkt3rz,43,3
inspiration,1nsp3r8Sen,362,4
inspirational,1nsp3r8Senel,62,5
inspire,1nsp5r,198,2
inspired,1nsp5rd,390,2
inspires,1nsp5rz,58,2
inspiring,1nsp5r1N,139,3
instability,1nsteb1leti,52,5
install,1nstal,138,2
install,1nstcl,138,2
installation,1nstel8Sen,72,4
installed,1nstald,230,2
installed,1nstcld,230,2
installing,1nstal1N,60,3
installing,1nstcl1N,60,3
instance,1nstens,856,2
instant,1nstent,550,2
instantly,1nstentli,232,3
instead,1nstEd,4043,2
instinct,1nst1Nkt,390,2
instinctively,1nst1Nkt1vli,43,4
instincts,1nst1Nkts,428,2
institute,1nstetut,166,3
instituted,1nstetuted,41,4
institution,1nst1tuSen,396,4
institutionalized,1nstetuSenel5zd,42,6
institutions,1nstetuSenz,83,4
instruct,1nstr^kt,85,2
instructed,1nstr^kt1d,238,3
instructed,1nstr^kted,238,3
instruction,1nstr^kSen,103,3
instructions,1nstr^kSenz,798,3
instructor,1nstr^kt3r,240,3
instrument,1nstrement,413,3
instrumental,1nstremEntel,78,4
instruments,1nstrements,262,3
insubordination,1nsebcrden8Sen,64,6
insufferable,1ns^f3rebel,49,5
insufferable,1ns^frebel,49,4
insufficient,1nsef1Sent,54,4
insulation,1nsel8Sen,51,4
insulin,1nselen,107,3
insult,1ns^lt,639,2
insulted,1ns^lt1d,306,3
insulting,1ns^lt1N,274,3
insults,1ns^lts,152,2
insurance,1nSUrens,1955,3
insure,1nSUr,54,2
insured,1nSUrd,126,2
intact,1nt@kt,324,2
intake,1nt8k,66,2
integrated,1ntegr8ted,55,4
integrity,1ntEgreti,367,4
intel,1ntEl,289,2
intellect,1ntelEkt,109,3
intellectual,1ntelEkCuel,234,5
intellectually,1ntelEkCueli,40,6
intellectuals,1ntelEkCuelz,41,5
intelligence,1ntEleGens,983,4
intelligent,1ntEleGent,689,4
intend,1ntEnd,1183,2
intended,1ntEnd1d,601,3
intends,1ntEndz,104,2
intense,1ntEns,520,2
intensely,1ntEnsli,71,3
intensity,1ntEnseti,127,4
intensive,1ntEns1v,112,3
intent,1ntEnt,286,2
intention,1ntEnCen,559,3
intentional,1ntEnSenel,75,4
intentionally,1ntEnSeneli,108,5
intentions,1ntEnCenz,366,3
interact,1nt3r@kt,73,3
interaction,1nt3r@kSen,60,4
intercept,1nt3rsEpt,215,3
intercepted,1nt3rsEpted,147,4
intercom,1nt3rkam,107,3
intercourse,1nt3rkcrs,193,3
interest,1nt3rEst,2598,3
interest,1nterEst,2598,3
interested,1nterEst1d,4374,4
interesting,1nterEst1N,4421,4
interests,1nt3rests,677,3
interface,1nt3rf8s,77,3
interfere,1nt3rf1r,486,3
interfered,1nt3rf1rd,81,3
interference,1nt3rf1rens,237,4
interferes,1nt3rf1rz,40,3
interfering,1nt3rf1r1N,156,4
interior,1nt1ri3r,267,4
intermission,1nt3rm1Sen,69,4
intern,1nt3rn,232,2
internal,1nt3rnel,502,3
internally,1nt3rneli,65,4
international,1nt3rn@Senel,725,5
internet,1nt3rnEt,334,3
interns,1nt3rnz,96,2
internship,1nt3rnS1p,152,3
interpret,1nt3rpret,125,3
interpretation,1nt3rpret8Sen,130,5
interpreted,1nt3rpreted,55,4
interpreter,1nt3rpret3r,91,4
interrogate,1ntEreg8t,98,4
interrogated,1ntEreg8ted,53,5
interrogating,1ntEreg8t1N,62,5
interrogation,1ntEreg8Sen,289,5
interrupt,1nter^pt,955,3
interrupted,1nter^pt1d,267,4
interrupting,1nt3r^pt1N,391,4
interruption,1nter^pSen,96,4
interruptions,1nt3r^pSenz,55,4
intersection,1nt3rsEkSen,116,4
interstate,1nt3rst8t,110,3
interval,1nt3rvel,45,3
intervals,1nt3rvelz,65,3
intervene,1nt3rvin,72,3
intervened,1nt3rvind,41,3
intervention,1nt3rvEnSen,186,4
interview,1nt3rvju,1505,3
interviewed,1nt3rvjud,183,3
interviewing,1nt3rvju1N,153,4
interviews,1nt3rvjuz,268,3
intestine,1ntEst1n,52,3
intestines,1ntEst1nz,87,3
intimacy,1ntemesi,167,4
intimate,1nt1m8t,355,3
intimate,1ntemet,355,3
intimately,1ntemetli,71,4
intimidate,1nt1med8t,87,4
intimidated,1nt1med8ted,137,5
intimidating,1nt1m1d8t1N,70,5
into,1ntu,43074,2
intolerable,1ntal3rebel,69,5
intolerant,1ntal3rent,44,4
intoxicated,1ntaksek8ted,52,5
